X1 (mm),Y1 (mm),Z1 (mm)
6102.379180073738,-3865.758266,6946.752125263214
6082.5903089642525,-3879.423121,6937.741171598434
6067.020723640919,-3895.729301,6933.582269906998
6034.459210932255,-3901.019663,6910.015160322189
5966.279860496521,-3882.949855,6845.552184104919
5908.517825603485,-3871.214187,6792.872762680054
5848.477728366852,-3857.573379,6737.4207401275635
5810.194498062134,-3857.954703,6706.922127723694
5785.147595643997,-3866.949767,6691.672821521759
5762.492167711258,-3877.43725,6679.196116447449
5755.940245985985,-3898.735961,6685.434468984604
5774.324506759644,-3937.085329,6720.785133361816
5806.790294766426,-3985.373138,6772.771404504776
5850.874318242073,-4042.090559,6838.620681285858
5860.933107376099,-4075.659588,6864.960391998291
5876.155626654625,-4113.047904,6897.538455247879
